Job Cost Report (06/01/2025 to 06/30/2025)
Generated: 06/17/2025 03:00:11

SUMMARY METRICS
Total Labor Cost,$27,015.47
Total Hours,490.15
Average Cost per Hour,$55.12
Number of Jobs,6

DETAILED BREAKDOWN

Job:  TAC-2025-038 - Pierce County Justice Center Renovation - Phase 2
Date,Worker,Activity,Hours,Burden Rate,Total Cost
06/23/2025,Brad Bradley,Surface Preparation,8.0,$61.50,$492.00
06/24/2025,Brad Bradley,Hanging Drywall,6.0,$61.50,$369.00
06/25/2025,Brad Bradley,Painting,7.0,$61.50,$430.50
06/26/2025,Brad Bradley,Priming,6.5,$61.50,$399.75
06/27/2025,Brad Bradley,Sanding,4.0,$61.50,$246.00
06/30/2025,Brad Bradley,Taping and Mudding,8.0,$61.50,$492.00
06/06/2025,John Smith,Surface Preparation,6.0,$59.00,$354.00
06/09/2025,John Smith,Painting,7.0,$59.00,$413.00
06/10/2025,John Smith,Hanging Drywall,7.5,$59.00,$442.50
06/11/2025,John Smith,Taping and Mudding,5.5,$59.00,$324.50
06/12/2025,John Smith,Sanding,6.0,$59.00,$354.00
06/13/2025,John Smith,Priming,4.0,$59.00,$236.00
06/16/2025,John Smith,Hanging Drywall,8.0,$59.00,$472.00
06/17/2025,John Smith,Surface Preparation,4.5,$59.00,$265.50
06/18/2025,John Smith,Painting,6.5,$59.00,$383.50
06/19/2025,John Smith,Taping and Mudding,5.5,$59.00,$324.50
06/20/2025,John Smith,Sanding,7.5,$59.00,$442.50
06/23/2025,John Smith,Hanging Drywall,6.5,$59.00,$383.50
06/24/2025,John Smith,Painting,7.5,$59.00,$442.50
06/25/2025,John Smith,Surface Preparation,6.5,$59.00,$383.50
06/26/2025,John Smith,Hanging Drywall,4.5,$59.00,$265.50
06/27/2025,John Smith,Taping and Mudding,8.0,$59.00,$472.00
06/30/2025,John Smith,Priming,6.0,$59.00,$354.00
06/06/2025,Memoree Cushing,Priming,5.5,$30.00,$165.00
06/09/2025,Memoree Cushing,Sanding,8.0,$30.00,$240.00
06/10/2025,Memoree Cushing,Painting,4.0,$30.00,$120.00
06/11/2025,Memoree Cushing,Hanging Drywall,6.5,$30.00,$195.00
06/12/2025,Memoree Cushing,Taping and Mudding,5.0,$30.00,$150.00
06/13/2025,Memoree Cushing,Surface Preparation,8.0,$30.00,$240.00
06/16/2025,Memoree Cushing,Painting,7.0,$30.00,$210.00
06/17/2025,Memoree Cushing,Hanging Drywall,8.0,$30.00,$240.00
06/18/2025,Memoree Cushing,Priming,7.5,$30.00,$225.00
06/19/2025,Memoree Cushing,Surface Preparation,4.5,$30.00,$135.00
06/20/2025,Memoree Cushing,Taping and Mudding,8.0,$30.00,$240.00
06/23/2025,Memoree Cushing,Sanding,4.0,$30.00,$120.00
06/24/2025,Memoree Cushing,Priming,8.0,$30.00,$240.00
06/25/2025,Memoree Cushing,Taping and Mudding,5.0,$30.00,$150.00
06/26/2025,Memoree Cushing,Surface Preparation,7.0,$30.00,$210.00
06/27/2025,Memoree Cushing,Painting,7.5,$30.00,$225.00
06/30/2025,Memoree Cushing,Hanging Drywall,5.5,$30.00,$165.00
06/06/2025,Robert Johnson,Hanging Drywall,7.5,$65.00,$487.50
06/09/2025,Robert Johnson,Taping and Mudding,6.5,$65.00,$422.50
06/10/2025,Robert Johnson,Sanding,5.0,$65.00,$325.00
06/11/2025,Robert Johnson,Priming,8.0,$65.00,$520.00
06/12/2025,Robert Johnson,Painting,4.5,$65.00,$292.50
06/13/2025,Robert Johnson,Hanging Drywall,7.0,$65.00,$455.00
06/16/2025,Robert Johnson,Taping and Mudding,6.0,$65.00,$390.00
06/17/2025,Robert Johnson,Sanding,7.5,$65.00,$487.50
06/18/2025,Robert Johnson,Surface Preparation,5.0,$65.00,$325.00
06/19/2025,Robert Johnson,Painting,8.0,$65.00,$520.00
06/20/2025,Robert Johnson,Hanging Drywall,6.0,$65.00,$390.00
06/23/2025,Robert Johnson,Priming,7.0,$65.00,$455.00
06/24/2025,Robert Johnson,Taping and Mudding,5.5,$65.00,$357.50
06/25/2025,Robert Johnson,Sanding,4.5,$65.00,$292.50
06/26/2025,Robert Johnson,Painting,8.0,$65.00,$520.00
06/27/2025,Robert Johnson,Surface Preparation,5.5,$65.00,$357.50
06/30/2025,Robert Johnson,Hanging Drywall,7.0,$65.00,$455.00
Job Subtotal:,,,432.00,$23,246.75

Job: RES-6-11-25 - Tacoma Apartment
Date,Worker,Activity,Hours,Burden Rate,Total Cost
06/02/2025,Robert Johnson,Hanging Drywall,8.0,$65.00,$520.00
06/03/2025,Robert Johnson,Hanging Drywall,8.0,$65.00,$520.00
06/04/2025,Robert Johnson,Hanging Drywall,8.0,$65.00,$520.00
06/05/2025,Robert Johnson,Hanging Drywall,2.0,$65.00,$130.00
06/12/2025,Robert Johnson,Hanging Drywall,8.0,$65.00,$520.00
06/13/2025,Robert Johnson,Hanging Drywall,8.0,$65.00,$520.00
Job Subtotal:,,,42.00,$2,730.00

GRAND TOTAL:,,,490.15,$27,015.47
